GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,NAME_M,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010,AQPZM001,AQPZM002,AQPZM003,AQPZM004,AQPZM005,AQPZM006,AQPZM007,AQPZM008
"G27012300408051","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040805","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230408051",,,"271230408051","Block Group 1, Census Tract 408.05, Ramsey County, Minnesota",1638,1354,75,5,106,0,10,88,3,85,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 408.05, Ramsey County, Minnesota",23,79,45,9,51,9,13,42,6,42,9,9,9,9,9,9,9,9
"G27012300408052","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040805","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230408052",,,"271230408052","Block Group 2, Census Tract 408.05, Ramsey County, Minnesota",941,807,22,0,12,0,25,75,0,75,941,56,1,0,2,16,13,853,"Block Group 2, Census Tract 408.05, Ramsey County, Minnesota",246,233,21,9,14,9,46,75,9,75,246,44,5,9,3,14,19,247
"G27012300408053","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040805","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230408053",,,"271230408053","Block Group 3, Census Tract 408.05, Ramsey County, Minnesota",1060,965,0,0,67,0,0,28,14,14,1060,13,19,12,0,22,19,975,"Block Group 3, Census Tract 408.05, Ramsey County, Minnesota",237,230,9,9,71,9,9,28,22,16,237,14,23,21,9,27,25,234
"G27012300408054","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040805","4",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230408054",,,"271230408054","Block Group 4, Census Tract 408.05, Ramsey County, Minnesota",801,768,0,0,23,0,0,10,0,10,801,0,30,6,0,0,0,765,"Block Group 4, Census Tract 408.05, Ramsey County, Minnesota",243,245,9,9,31,9,9,18,9,18,243,9,50,9,9,9,9,248
"G27012300409011","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040901","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230409011",,,"271230409011","Block Group 1, Census Tract 409.01, Ramsey County, Minnesota",1133,779,25,0,223,0,26,80,0,80,1107,27,143,18,0,9,16,894,"Block Group 1, Census Tract 409.01, Ramsey County, Minnesota",210,165,34,9,200,9,35,93,9,93,207,31,174,28,9,14,19,201
"G27012300409012","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040901","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230409012",,,"271230409012","Block Group 2, Census Tract 409.01, Ramsey County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 409.01, Ramsey County, Minnesota",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"G27012300409013","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040901","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230409013",,,"271230409013","Block Group 3, Census Tract 409.01, Ramsey County, Minnesota",971,738,106,22,90,0,0,15,0,15,971,86,124,0,8,34,35,684,"Block Group 3, Census Tract 409.01, Ramsey County, Minnesota",161,164,116,26,68,9,9,18,9,18,161,88,86,9,11,29,54,153
"G27012300409021","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040902","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230409021",,,"271230409021","Block Group 1, Census Tract 409.02, Ramsey County, Minnesota",1276,684,124,0,29,0,180,259,8,251,1270,204,24,26,0,21,33,962,"Block Group 1, Census Tract 409.02, Ramsey County, Minnesota",443,243,133,9,31,9,224,340,11,341,443,222,20,39,9,34,37,411
"G27012300409022","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040902","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230409022",,,"271230409022","Block Group 2, Census Tract 409.02, Ramsey County, Minnesota",2055,813,193,31,469,0,26,523,0,523,2055,208,64,312,118,94,246,1013,"Block Group 2, Census Tract 409.02, Ramsey County, Minnesota",536,179,218,47,291,9,41,348,9,348,536,216,80,327,110,85,363,315
"G27012300409023","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040902","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230409023",,,"271230409023","Block Group 3, Census Tract 409.02, Ramsey County, Minnesota",1000,631,56,0,64,0,150,99,28,71,1000,138,17,37,0,42,0,766,"Block Group 3, Census Tract 409.02, Ramsey County, Minnesota",254,146,68,9,63,9,164,98,43,88,254,129,19,31,9,46,9,214
"G27012300410011","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"041001","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230410011",,,"271230410011","Block Group 1, Census Tract 410.01, Ramsey County, Minnesota",1613,1507,40,0,21,0,0,45,40,5,1596,0,114,0,32,21,64,1365,"Block Group 1, Census Tract 410.01, Ramsey County, Minnesota",349,350,26,9,34,9,9,58,57,13,346,9,154,9,31,32,44,347
